name,category,archetype,sku,price,cost,stock,low_stock,unit,description,image_url
Aso-oke gele,Accessories,packaged,KOLA-022,8500,4800,12,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/aso-oke-gele/900/900
Sego headtie,Accessories,packaged,KOLA-023,6500,3600,19,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/sego-headtie/900/900
Coral bead necklace,Accessories,packaged,KOLA-024,14000,8000,7,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/coral-bead-necklace/900/900
Coral bead set (full),Accessories,packaged,KOLA-025,45000,28000,3,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/coral-bead-set-full/900/900
Beaded clutch bag,Accessories,packaged,KOLA-026,11500,6500,10,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/beaded-clutch-bag/900/900
Raffia tote bag,Accessories,packaged,KOLA-027,7800,4200,15,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/raffia-tote-bag/900/900
Leather sandals,Footwear,variants,KOLA-028,16500,9800,8,5,,"Leather upper, cushioned sole. Half sizes available on request.",https://picsum.photos/seed/leather-sandals/900/900
Beaded slippers,Footwear,variants,KOLA-029,9800,5500,13,5,,"Leather upper, cushioned sole. Half sizes available on request.",https://picsum.photos/seed/beaded-slippers/900/900
Men's leather loafers,Footwear,variants,KOLA-030,28000,17500,6,5,,"Leather upper, cushioned sole. Half sizes available on request.",https://picsum.photos/seed/mens-leather-loafers/900/900
Ankara sneakers,Footwear,variants,KOLA-031,21000,13000,4,5,,"Leather upper, cushioned sole. Half sizes available on request.",https://picsum.photos/seed/ankara-sneakers/900/900
Bridal veil,Bridal,packaged,KOLA-032,18000,10500,5,5,,Made for the day and photographed well under both daylight and flash.,https://picsum.photos/seed/bridal-veil/900/900
Bridal gele set,Bridal,packaged,KOLA-033,32000,19000,3,5,,Made for the day and photographed well under both daylight and flash.,https://picsum.photos/seed/bridal-gele-set/900/900
Groom's cap (fila),Bridal,variants,KOLA-034,7500,4000,11,5,,Made for the day and photographed well under both daylight and flash.,https://picsum.photos/seed/grooms-cap-fila/900/900
Ankara throw pillow,Home,packaged,KOLA-035,5500,2800,22,5,,Machine washable at 30 degrees. Iron on reverse.,https://picsum.photos/seed/ankara-throw-pillow/900/900
Adire table runner,Home,packaged,KOLA-036,8200,4500,9,5,,Machine washable at 30 degrees. Iron on reverse.,https://picsum.photos/seed/adire-table-runner/900/900
Ankara apron,Home,packaged,KOLA-037,4800,2400,17,5,,Machine washable at 30 degrees. Iron on reverse.,https://picsum.photos/seed/ankara-apron/900/900
Kids' Ankara dress,Children,variants,KOLA-038,8500,4600,12,5,,"Soft-finished cotton, no rough seams. Sized by age.",https://picsum.photos/seed/kids-ankara-dress/900/900
Kids' senator set,Children,variants,KOLA-039,11000,6200,8,5,,"Soft-finished cotton, no rough seams. Sized by age.",https://picsum.photos/seed/kids-senator-set/900/900
Baby Ankara wrap,Children,packaged,KOLA-040,3500,1700,25,5,,"Soft-finished cotton, no rough seams. Sized by age.",https://picsum.photos/seed/baby-ankara-wrap/900/900
Ankara face mask,Accessories,packaged,KOLA-041,1200,500,80,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/ankara-face-mask/900/900
Hair bonnet (satin),Accessories,packaged,KOLA-042,2800,1300,34,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/hair-bonnet-satin/900/900
Waist beads,Accessories,packaged,KOLA-043,3200,1400,28,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/waist-beads/900/900
Ankara laptop sleeve,Home,packaged,KOLA-044,6800,3600,11,5,,Machine washable at 30 degrees. Iron on reverse.,https://picsum.photos/seed/ankara-laptop-sleeve/900/900
Custom tailoring,Services,services,KOLA-045,,,,5,,"Booked, not stocked. Turnaround depends on the week — ask before you plan around it.",https://picsum.photos/seed/custom-tailoring/900/900
Gele tying (per event),Services,services,KOLA-046,15000,,,5,,"Booked, not stocked. Turnaround depends on the week — ask before you plan around it.",https://picsum.photos/seed/gele-tying-per-event/900/900
Bridal styling package,Services,services,KOLA-047,,,,5,,"Booked, not stocked. Turnaround depends on the week — ask before you plan around it.",https://picsum.photos/seed/bridal-styling-package/900/900
Alterations & fitting,Services,services,KOLA-048,5000,,,5,,"Booked, not stocked. Turnaround depends on the week — ask before you plan around it.",https://picsum.photos/seed/alterations-and-fitting/900/900
Fabric sourcing (per trip),Services,services,KOLA-049,,,,5,,"Booked, not stocked. Turnaround depends on the week — ask before you plan around it.",https://picsum.photos/seed/fabric-sourcing-per-trip/900/900
Express tailoring (48hr),Services,services,KOLA-050,25000,,,5,,"Booked, not stocked. Turnaround depends on the week — ask before you plan around it.",https://picsum.photos/seed/express-tailoring-48hr/900/900
